id,minute,phase,inject_type,message,expected_response,severity,artifact_reference,tags,created
X0001,66,Containment,model_infiltration,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,artifact:x0001-artifact,latency,2026-02-11T06:55:27.476188Z
X0002,128,Containment,monitoring_alert,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,medium,service:sim-8,provenance,2026-02-11T06:55:27.476188Z
X0003,70,Decision,prompt_injection,Alerts indicate increase in confident predictions for edge cases (synthetic).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,case:SIM-1706,provenance|latency|exfil-detection,2026-02-11T06:55:27.476188Z
X0004,22,Decision,training_job,Third-party dataset shows distributional shift vs baseline reference.,Triage and assign owner; collect logs; run canary test.,medium,artifact:x0004-artifact,throughput,2026-02-11T06:55:27.476188Z
X0005,17,Ambiguity,ingest_file,Training job completed with unexpected dependency marker (sandbox-only).,Correct ingestion script; re-validate dataset; document fix.,low,artifact:x0005-artifact,exfil-detection|thirdparty,2026-02-11T06:55:27.476188Z
X0006,160,Ambiguity,ingest_file,Synthetic ingest_file observed in test harness with anomalous metadata pattern.,Enable human-in-the-loop for affected paths; log prompts and context.,low,artifact:x0006-artifact,exfil-detection|provenance|latency,2026-02-11T06:55:27.476188Z
X0007,67,Post-Incident,training_job,Simulated regulator 'request for information' received (exercise).,Enable human-in-the-loop for affected paths; log prompts and context.,low,artifact:x0007-artifact,thirdparty,2026-02-11T06:55:27.476188Z
X0008,233,Containment,training_job,Alerts indicate increase in confident predictions for edge cases (synthetic).,Monitor trend for 24h; no action unless persists beyond threshold.,medium,artifact:x0008-artifact,prompt-inject|latency|throughput,2026-02-11T06:55:27.476188Z
X0009,133,Signal,supply_chain_flag,User-submitted prompt pattern matches known 'instruction override' heuristic.,Monitor trend for 24h; no action unless persists beyond threshold.,low,,legal|thirdparty|provenance,2026-02-11T06:55:27.476188Z
X0010,174,Decision,ingest_file,Training job completed with unexpected dependency marker (sandbox-only).,Triage and assign owner; collect logs; run canary test.,low,artifact:x0010-artifact,drift|exfil-detection,2026-02-11T06:55:27.476188Z
X0011,113,Ambiguity,training_job,Training job completed with unexpected dependency marker (sandbox-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,artifact:x0011-artifact,latency,2026-02-11T06:55:27.476188Z
X0012,71,Decision,prompt_injection,Training job completed with unexpected dependency marker (sandbox-only).,Throttle traffic and fallback to canary; alert SRE.,low,case:SIM-3122,latency|legal,2026-02-11T06:55:27.476188Z
X0013,130,Ambiguity,media_inquiry,Minor throughput variance during scheduled load window (exercise-only).,Legal to assess reporting obligations; prepare holding statement.,high,,rate-limit,2026-02-11T06:55:27.476188Z
X0014,182,Containment,supply_chain_flag,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Correct ingestion script; re-validate dataset; document fix.,low,,throughput,2026-02-11T06:55:27.476188Z
X0015,221,Decision,regulatory_notice,Auxiliary feature store mismatch in column schema detected.,Triage and assign owner; collect logs; run canary test.,medium,,comms|throughput,2026-02-11T06:55:27.476188Z
X0016,180,Decision,regulatory_notice,Auxiliary feature store mismatch in column schema detected.,Run statistical comparison; increase sampling; create drift alert.,high,,prompt-inject,2026-02-11T06:55:27.476188Z
X0017,109,Containment,media_inquiry,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,low,,latency|canary|comms,2026-02-11T06:55:27.476188Z
X0018,8,Ambiguity,training_job,Simulated ingestion artifact with altered column ordering (no PII).,Triage and assign owner; collect logs; run canary test.,low,artifact:x0018-artifact,prompt-inject|thirdparty|throughput,2026-02-11T06:55:27.476188Z
X0019,183,Post-Incident,sla_degrading,Third-party dataset shows distributional shift vs baseline reference.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,service:sim-10,prompt-inject|exfil-detection|comms,2026-02-11T06:55:27.476188Z
X0020,13,Signal,training_job,Simulated regulator 'request for information' received (exercise).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0020-artifact,thirdparty,2026-02-11T06:55:27.476188Z
X0021,211,Ambiguity,media_inquiry,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,critical,,data-quality|exfil-detection|thirdparty,2026-02-11T06:55:27.476188Z
X0022,171,Signal,training_job,Third-party dataset shows distributional shift vs baseline reference.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,artifact:x0022-artifact,throughput|data-quality|rate-limit,2026-02-11T06:55:27.476188Z
X0023,131,Signal,monitoring_alert,Training job completed with unexpected dependency marker (sandbox-only).,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,service:sim-8,legal|provenance|thirdparty,2026-02-11T06:55:27.476188Z
X0024,47,Decision,ingest_file,Synthetic ingest_file observed in test harness with anomalous metadata pattern.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,artifact:x0024-artifact,provenance|legal|drift,2026-02-11T06:55:27.476188Z
